# =============================================================================
# MINISTEAM - Cache de Traduções
# Formato: idioma_destino | texto_origem || texto_traduzido
# Quebras de linha e pipes escapados como \n e \|
# =============================================================================
en | Lista de Desejos || Wish List
ko | Revisão e Pagamento || 검토 및 결제
en | Comprar Saldo || Buy Balance
de | Comprar Saldo || Guthaben kaufen
zh-cn | Comprar Saldo || 购买余额
pl | Comprar Saldo || Kup Saldo
ko | Comprar Saldo || 잔액 구매
en | Selecione como deseja pagar pelo saldo: || Select how you want to pay your balance:
de | Selecione como deseja pagar pelo saldo: || Wählen Sie aus, wie Sie Ihren Restbetrag bezahlen möchten:
zh-cn | Selecione como deseja pagar pelo saldo: || 选择您想要支付余额的方式：
pl | Selecione como deseja pagar pelo saldo: || Wybierz sposób, w jaki chcesz spłacić saldo:
ko | Selecione como deseja pagar pelo saldo: || 잔액 결제 방법을 선택하세요.
en | Apenas o lider pode alterar permissões de membros. || Only the leader can change member permissions.
de | Apenas o lider pode alterar permissões de membros. || Nur der Leiter kann die Mitgliedsberechtigungen ändern.
zh-cn | Apenas o lider pode alterar permissões de membros. || 只有领导才能更改成员权限。
pl | Apenas o lider pode alterar permissões de membros. || Tylko lider może zmieniać uprawnienia członków.
ko | Apenas o lider pode alterar permissões de membros. || 리더만이 구성원 권한을 변경할 수 있습니다.
en | Desejos || Wishes
de | Desejos || Wünsche
zh-cn | Desejos || 愿望
pl | Desejos || Życzenia
ko | Desejos || 소원
en | Requisitos de Sistema || System Requirements
de | Requisitos de Sistema || Systemanforderungen
zh-cn | Requisitos de Sistema || 系统要求
pl | Requisitos de Sistema || Wymagania systemowe
ko | Requisitos de Sistema || 시스템 요구사항
en | Idiomas: || Languages:
de | Idiomas: || Sprachen:
zh-cn | Idiomas: || 语言：
pl | Idiomas: || Języki:
ko | Idiomas: || 언어:
en | Comprar Saldo Steam || Buy Steam Balance
de | Comprar Saldo Steam || Steam-Guthaben kaufen
zh-cn | Comprar Saldo Steam || 购买 Steam 余额
pl | Comprar Saldo Steam || Kup saldo Steam
ko | Comprar Saldo Steam || Steam 잔액 구매
en | Mínimos || Minimum
de | Mínimos || Minimum
zh-cn | Mínimos || 最低限度
pl | Mínimos || Minimum
ko | Mínimos || 최저한의
en | ex: João Silva || ex: João Silva
de | ex: João Silva || Beispiel: João Silva
zh-cn | ex: João Silva || 例如：João 席尔瓦
pl | ex: João Silva || np.: João Silva
ko | ex: João Silva || 예: João 실바
en | Comprar || Buy
de | Comprar || Kaufen
zh-cn | Comprar || 买
pl | Comprar || Kupić
ko | Comprar || 구입하다
en | Você || You
de | Você || Du
zh-cn | Você || 你
pl | Você || Ty
ko | Você || 너
en | Cada conta pode trocar o @usuário no máximo || Each account can change the @user at most
de | Cada conta pode trocar o @usuário no máximo || Jedes Konto kann höchstens den @user ändern
pt-br | Amazing gameplay and graphics. Highly recommended to play with friends! || Jogabilidade e gráficos incríveis. Altamente recomendadoed para jogar com amigos!
zh-cn | Cada conta pode trocar o @usuário no máximo || 每个账号最多可以更改@user
pt-br | Das Spiel hat zu viele Bugs. Ich kann es im Moment nicht empfehlen. || O jogo tem muitos bugs. Não posso recomendá-lo no momento.
pl | Cada conta pode trocar o @usuário no máximo || Każde konto może co najwyżej zmienić @użytkownika
ko | Cada conta pode trocar o @usuário no máximo || 각 계정은 최대 @user를 변경할 수 있습니다.
en | Finalizar Compras || Finalize Purchases
de | Finalizar Compras || Einkäufe abschließen
zh-cn | Finalizar Compras || 完成购买
pl | Finalizar Compras || Sfinalizuj zakupy
ko | Finalizar Compras || 구매 완료
en | Destaques || Highlights
de | Destaques || Höhepunkte
zh-cn | Destaques || 亮点
pl | Destaques || Przegląd najważniejszych wydarzeń
ko | Destaques || 하이라이트
en | Filtrar por Idioma: || Filter by Language:
de | Filtrar por Idioma: || Nach Sprache filtern:
zh-cn | Filtrar por Idioma: || 按语言过滤：
pl | Filtrar por Idioma: || Filtruj według języka:
ko | Filtrar por Idioma: || 언어별로 필터링:
en | Não || No
de | Não || NEIN
zh-cn | Não || 不
pl | Não || NIE
ko | Não || 아니요
en | Data de Nascimento: || Date of birth:
de | Data de Nascimento: || Geburtsdatum:
zh-cn | Data de Nascimento: || 出生日期：
pl | Data de Nascimento: || Data urodzenia:
ko | Data de Nascimento: || 생일:
en | Licenças no Banco: || Licenses at the Bank:
de | Licenças no Banco: || Lizenzen bei der Bank:
zh-cn | Licenças no Banco: || 银行牌照：
pl | Licenças no Banco: || Licencje w Banku:
en | PROMOÇÃO ATIVA || ACTIVE PROMOTION
ko | Licenças no Banco: || 은행 라이센스:
en | Seu Carrinho || Your Cart
en | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || Clear all: cookies and all data files (except user accounts)
de | Seu Carrinho || Ihr Warenkorb
zh-cn | Seu Carrinho || 您的购物车
en | Biblioteca || Library
en | Amigos || Friends
en | Família || Family
pl | Seu Carrinho || Twój koszyk
en | Conta de || account
en | Meu perfil || My profile
en | Minha carteira || My wallet
ko | Seu Carrinho || 장바구니
en | Saldo disponível || Available balance
en | Trocar usuário || Change user
en | Ofertas por tempo limitado! || Limited time offers!
de | Saldo disponível || Verfügbares Guthaben
en | Termina em || Ends in
zh-cn | Saldo disponível || 可用余额
en | Ver ofertas → || View offers →
pl | Saldo disponível || Dostępne saldo
en | Nome de Exibição: || Display name:
en | Detalhes do Perfil / Notas: || Profile Details/Notes:
ko | Saldo disponível || 사용 가능한 잔액
en | Nenhum jogo da Família Steam disponível para você no momento. || No Steam Family games available to you at this time.
en | Idioma de Preferência (interface e avaliações): || Preferred Language (interface and reviews):
en | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *Required to access age-rated games. Without it, +10 and +18 titles will be blocked.
de | Nenhum jogo da Família Steam disponível para você no momento. || Derzeit stehen Ihnen keine Steam Family-Spiele zur Verfügung.
zh-cn | Nenhum jogo da Família Steam disponível para você no momento. || 目前没有可供您玩的 Steam 家庭游戏。
en | Português (Brasil) || Portuguese (Brazil)
en | Alemão || German
en | Chinês Simplificado || Simplified Chinese
pl | Nenhum jogo da Família Steam disponível para você no momento. || W tej chwili nie są dostępne żadne gry rodzinne Steam.
en | Polonês || Polish
en | Coreano || Korean
en | RPG || RPG
ko | Nenhum jogo da Família Steam disponível para você no momento. || 현재 이용 가능한 Steam Family 게임이 없습니다.
en | Ação || Action
en | Polonês || Polish
en | Aventura || Adventure
de | Polonês || Polieren
en | Cooperativo || Cooperative
zh-cn | Polonês || 抛光
pl | Polonês || Polski
en | Terror || Terror
ko | Polonês || 광택
en | Sobrevivência || Survival
en | Buscar || Search
de | Buscar || Suchen
en | Mundo Aberto || Open World
en | Corrida || Race
zh-cn | Buscar || 搜索
en | Casual || Casual
pl | Buscar || Szukaj
en | Arcade || Arcadian
ko | Buscar || 찾다
en | Já tem uma conta? || Already have an account?
en | Estratégia || Strategy
en | Multijogador || Multiplayer
en | Tático || Tactical
de | Já tem uma conta? || Sie haben bereits ein Konto?
de | Português (Brasil) || Portugiesisch (Brasilien)
zh-cn | Já tem uma conta? || 已经有帐户？
de | Alemão || Deutsch
de | Chinês Simplificado || Vereinfachtes Chinesisch
de | Polonês || Polieren
pl | Já tem uma conta? || Masz już konto?
de | Coreano || Koreanisch
de | RPG || Rollenspiel
ko | Já tem uma conta? || 이미 계정이 있나요?
de | Ação || Aktion
de | Aventura || Abenteuer
de | Cooperativo || Kooperative
de | Terror || Terror
en | Deixe um comentário no seu próprio mural... || Leave a comment on your own wall...
de | Sobrevivência || Überleben
de | Mundo Aberto || Offene Welt
de | Deixe um comentário no seu próprio mural... || Hinterlassen Sie einen Kommentar auf Ihrer eigenen Pinnwand ...
de | Corrida || Wettrennen
de | Casual || Lässig
de | Família || Familie
de | Arcade || arkadisch
de | Estratégia || Strategie
pl | Deixe um comentário no seu próprio mural... || Zostaw komentarz na swojej tablicy...
de | Multijogador || Mehrspieler
ko | Deixe um comentário no seu próprio mural... || 자신의 담벼락에 댓글을 남겨주세요...
de | Tático || Taktisch
en | Convidar Amigos || Invite Friends
de | Convidar Amigos || Freunde einladen
zh-cn | Convidar Amigos || 邀请好友
pl | Convidar Amigos || Zaproś znajomych
ko | Convidar Amigos || 친구 초대
en | amigo de amigo || friend of friend
de | amigo de amigo || Freund des Freundes
de | Carrinho || Warenkorb
de | Biblioteca || Bibliothek
zh-cn | amigo de amigo || 朋友的朋友
pl | amigo de amigo || przyjaciel przyjaciela
ko | amigo de amigo || 친구의 친구
en | Boleto Bancário || Bank Slip
de | Boleto Bancário || Bankbeleg
zh-cn | Boleto Bancário || 银行单据
pl | Boleto Bancário || Kupon bankowy
ko | Boleto Bancário || 은행 전표
en | Saldo da Carteira Steam: || Steam Wallet Balance:
de | Saldo da Carteira Steam: || Steam-Wallet-Guthaben:
zh-cn | Saldo da Carteira Steam: || Steam 钱包余额：
pl | Saldo da Carteira Steam: || Saldo portfela Steam:
ko | Saldo da Carteira Steam: || Steam 지갑 잔액:
en | Ex: Família Silva || Ex: Silva Family
de | Ex: Família Silva || Ex: Familie Silva
zh-cn | Ex: Família Silva || 例如：席尔瓦家族
pl | Ex: Família Silva || Przykład: Rodzina Silvy
de | PROMOÇÃO ATIVA || AKTIVE WERBUNG
de | Limpar tudo: cookies e todos os arquivos de dados (exceto as contas de usuário) || Alles löschen: Cookies und alle Datendateien (außer Benutzerkonten)
ko | Ex: Família Silva || 예: 실바 가족
de | Amigos || Freunde
en | Trocar @usuário || Change @user
de | Conta de || Konto
de | Trocar @usuário || Benutzer wechseln
de | Meu perfil || Mein Profil
zh-cn | Trocar @usuário || 更改@用户
de | Minha carteira || Meine Brieftasche
de | Trocar usuário || Benutzer wechseln
pl | Trocar @usuário || Zmień @użytkownika
de | Ofertas por tempo limitado! || Zeitlich begrenzte Angebote!
de | Termina em || Endet in
ko | Trocar @usuário || @사용자 변경
de | Ver ofertas → || Angebote ansehen →
en | Simular Parente Jogando || Simulate Relative Playing
de | Nome de Exibição: || Anzeigename:
de | Simular Parente Jogando || Simulieren Sie relatives Spielen
de | Detalhes do Perfil / Notas: || Profildetails/Anmerkungen:
zh-cn | Simular Parente Jogando || 模拟相对演奏
de | Idioma de Preferência (interface e avaliações): || Bevorzugte Sprache (Benutzeroberfläche und Rezensionen):
pl | Simular Parente Jogando || Symuluj grę względną
ko | Simular Parente Jogando || 상대 재생 시뮬레이션
de | *Necessária para acessar jogos com classificação etária. Sem ela, títulos +10 e +18 serão bloqueados. || *Erforderlich für den Zugriff auf Spiele mit Altersfreigabe. Ohne sie werden die Titel +10 und +18 gesperrt.
en | Digite o início do @ para buscar (ex: ro → @robert, @rodrigo) || Type the beginning of @ to search (e.g. ro → @robert, @rodrigo)
de | Digite o início do @ para buscar (ex: ro → @robert, @rodrigo) || Geben Sie den Anfang von @ ein, um zu suchen (z. B. ro → @robert, @rodrigo).
zh-cn | Digite o início do @ para buscar (ex: ro → @robert, @rodrigo) || 输入 @ 开头进行搜索（例如 ro → @robert、@rodrigo）
pl | Digite o início do @ para buscar (ex: ro → @robert, @rodrigo) || Wpisz początek @, aby wyszukać (np. ro → @robert, @rodrigo)
ko | Digite o início do @ para buscar (ex: ro → @robert, @rodrigo) || 검색하려면 @의 시작 부분을 입력하세요(예: ro → @robert, @rodrigo).
en | Gerenciamento da Família da Steam || Steam Family Management
de | Gerenciamento da Família da Steam || Steam-Familienverwaltung
zh-cn | Gerenciamento da Família da Steam || Steam 家庭管理
pl | Gerenciamento da Família da Steam || Zarządzanie rodziną na Steamie
ko | Gerenciamento da Família da Steam || Steam 가족 관리
en | Sim || Yes
de | Sim || Ja
zh-cn | Sim || 是的
pl | Sim || Tak
ko | Sim || 예
en | Português (Brasil) || Portuguese (Brazil)
de | Português (Brasil) || Portugiesisch (Brasilien)
zh-cn | Português (Brasil) || 葡萄牙语（巴西）
pl | Português (Brasil) || portugalski (Brazylia)
ko | Português (Brasil) || 포르투갈어(브라질)
en | Família Steam || Steam Family
de | Família Steam || Steam-Familie
zh-cn | Família Steam || 蒸汽家族
pl | Família Steam || Rodzina Steama
ko | Família Steam || 스팀 제품군
en | Minha carteira || My wallet
de | Minha carteira || Meine Brieftasche
zh-cn | Minha carteira || 我的钱包
en | Aventura Épica leva você a um vasto mundo de fantasia repleto de masmorras sombrias, chefes colossais e tesouros lendários. Forme um grupo com até quatro amigos, personalize seu herói com centenas de habilidades e enfrente uma campanha épica de mais de 60 horas. Cada masmorra é gerada com desafios únicos, garantindo que nenhuma jornada seja igual. || Aventura Épica takes you to a vast fantasy world filled with dark dungeons, colossal bosses and legendary treasures. Form a party with up to four friends, customize your hero with hundreds of skills and face an epic campaign lasting over 60 hours. Each dungeon is generated with unique challenges, ensuring no two journeys are the same.
en | Fantasia || Fantasy
pl | Minha carteira || Mój portfel
en | Masmorras || Dungeons
ko | Minha carteira || 내 지갑
en | História Rica || Rich History
en | Sua lista de desejos está vazia. || Your wish list is empty.
en | SO: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB || OS: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB
en | SO: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD || OS: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD
de | Sua lista de desejos está vazia. || Ihre Wunschliste ist leer.
en | Explore masmorras e derrote monstros com amigos nesta jornada incrível. || Explore dungeons and defeat monsters with friends on this incredible journey.
zh-cn | Sua lista de desejos está vazia. || 您的愿望清单是空的。
en | Muito positivas || Very positive
pl | Sua lista de desejos está vazia. || Twoja lista życzeń jest pusta.
en | 15 de março de 2024 || March 15, 2024
en | Um jogador || One player
ko | Sua lista de desejos está vazia. || 위시리스트가 비어 있습니다.
en | Família || Family
en | Cooperativo online || Online cooperative
de | Família || Familie
zh-cn | Família || 家庭
en | Conquistas Steam || Steam Achievements
pl | Família || Rodzina
ko | Família || 가족
en | Nuvem Steam || Steam Cloud
en | Minha Biblioteca de Jogos || My Game Library
en | Suporte a controle || Control support
en | Português || Portuguese
en | Espanhol || Spanish
de | Minha Biblioteca de Jogos || Meine Spielebibliothek
en | Francês || French
en | Jogo excelente! Muito divertido para jogar em grupo. || Excellent game! Very fun to play in groups.
zh-cn | Minha Biblioteca de Jogos || 我的游戏库
en | A lógica por trás dos puzzles deste jogo é fantástica. || The logic behind the puzzles in this game is fantastic.
en | Das Spiel hat zu viele Bugs. Ich kann es im Moment nicht empfehlen. || The game has too many bugs. I can't recommend it at the moment.
pl | Minha Biblioteca de Jogos || Moja biblioteka gier
de | Aventura Épica leva você a um vasto mundo de fantasia repleto de masmorras sombrias, chefes colossais e tesouros lendários. Forme um grupo com até quatro amigos, personalize seu herói com centenas de habilidades e enfrente uma campanha épica de mais de 60 horas. Cada masmorra é gerada com desafios únicos, garantindo que nenhuma jornada seja igual. || Aventura Épica entführt Sie in eine riesige Fantasiewelt voller dunkler Dungeons, kolossaler Bosse und legendärer Schätze. Bilden Sie eine Gruppe mit bis zu vier Freunden, passen Sie Ihren Helden mit Hunderten von Fähigkeiten an und stellen Sie sich einer epischen Kampagne, die über 60 Stunden dauert. Jeder Dungeon wird mit einzigartigen Herausforderungen generiert, sodass keine zwei Reisen gleich sind.
ko | Minha Biblioteca de Jogos || 내 게임 라이브러리
de | Fantasia || Fantasie
en | Publicar Análise || Publish Analysis
de | Publicar Análise || Analyse veröffentlichen
de | Masmorras || Dungeons
de | História Rica || Reichhaltige Geschichte
zh-cn | Publicar Análise || 发布分析
pl | Publicar Análise || Publikuj analizę
de | SO: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB || Betriebssystem: Windows 10 64-Bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB
ko | Publicar Análise || 분석 게시
de | Carrinho || Warenkorb
de | SO: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD || Betriebssystem: Windows 11 64-Bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD
zh-cn | Carrinho || 大车
pl | Carrinho || Wózek
ko | Carrinho || 카트
de | Explore masmorras e derrote monstros com amigos nesta jornada incrível. || Erkunden Sie auf dieser unglaublichen Reise Dungeons und besiegen Sie Monster mit Freunden.
en | A forma de pagamento será escolhida na próxima etapa. || The payment method will be chosen in the next step.
de | Muito positivas || Sehr positiv
de | A forma de pagamento será escolhida na próxima etapa. || Im nächsten Schritt wird die Zahlungsart ausgewählt.
de | 15 de março de 2024 || 15. März 2024
zh-cn | A forma de pagamento será escolhida na próxima etapa. || 付款方式将在下一步中选择。
de | Um jogador || Ein Spieler
pl | A forma de pagamento será escolhida na próxima etapa. || Sposób płatności zostanie wybrany w kolejnym kroku.
ko | A forma de pagamento será escolhida na próxima etapa. || 결제 방법은 다음 단계에서 선택됩니다.
de | Cooperativo online || Online-Kooperative
en | Não tem uma conta? || Don't have an account?
de | Conquistas Steam || Steam-Erfolge
de | Não tem uma conta? || Sie haben noch kein Konto?
de | Nuvem Steam || Steam Cloud
zh-cn | Não tem uma conta? || 没有帐户？
de | Suporte a controle || Kontrollunterstützung
pl | Não tem uma conta? || Nie masz konta?
de | Português || Portugiesisch
ko | Não tem uma conta? || 계정이 없나요?
de | Espanhol || Spanisch
de | Francês || Französisch
en | Você já possui este jogo na sua biblioteca. || You already have this game in your library.
de | Você já possui este jogo na sua biblioteca. || Sie haben dieses Spiel bereits in Ihrer Bibliothek.
de | Jogo excelente! Muito divertido para jogar em grupo. || Ausgezeichnetes Spiel! Es macht sehr viel Spaß, in Gruppen zu spielen.
de | A lógica por trás dos puzzles deste jogo é fantástica. || Die Logik hinter den Rätseln in diesem Spiel ist fantastisch.
zh-cn | Você já possui este jogo na sua biblioteca. || 您的库中已经有这款游戏。
de | Amazing gameplay and graphics. Highly recommended to play with friends! || Erstaunliches Gameplay und Grafik. Ich kann es wärmstens empfehlened, um mit Freunden zu spielen!
pl | Você já possui este jogo na sua biblioteca. || Masz już tę grę w swojej bibliotece.
ko | Você já possui este jogo na sua biblioteca. || 귀하의 라이브러리에는 이미 이 게임이 있습니다.
en | Você achou essa avaliação útil? || Did you find this review helpful?
de | Você achou essa avaliação útil? || Fanden Sie diese Rezension hilfreich?
zh-cn | Você achou essa avaliação útil? || 您觉得这篇评论有帮助吗？
pl | Você achou essa avaliação útil? || Czy ta recenzja była dla Ciebie pomocna?
ko | Você achou essa avaliação útil? || 이 리뷰가 도움이 되었나요?
en | Opcional agora, mas necessária para jogar títulos com classificação etária. Sem ela, o acesso a jogos +10 e +18 será bloqueado. || Optional now, but required to play age-rated titles. Without it, access to +10 and +18 games will be blocked.
de | Opcional agora, mas necessária para jogar títulos com classificação etária. Sem ela, o acesso a jogos +10 e +18 será bloqueado. || Jetzt optional, aber erforderlich, um Titel mit Altersfreigabe zu spielen. Ohne sie wird der Zugriff auf +10- und +18-Spiele gesperrt.
pl | Opcional agora, mas necessária para jogar títulos com classificação etária. Sem ela, o acesso a jogos +10 e +18 será bloqueado. || Opcjonalne teraz, ale wymagane do grania w tytuły przeznaczone dla danego wieku. Bez tego dostęp do gier +10 i +18 zostanie zablokowany.
ko | Opcional agora, mas necessária para jogar títulos com classificação etária. Sem ela, o acesso a jogos +10 e +18 será bloqueado. || 지금은 선택 사항이지만 연령 제한 타이틀을 재생하려면 필수입니다. 그렇지 않으면 +10 및 +18 게임에 대한 액세스가 차단됩니다.
en | Meus Amigos || My Friends
de | Meus Amigos || Meine Freunde
zh-cn | Meus Amigos || 我的朋友
pl | Meus Amigos || Moi przyjaciele
ko | Meus Amigos || 내 친구
en | Mostra apenas usuários cujo @ começa com o que você digitou. Deixe em branco para ver sugestões de amigos de amigos. || Only shows users whose @ starts with what you typed. Leave blank to see suggestions from friends of friends.
de | Mostra apenas usuários cujo @ começa com o que você digitou. Deixe em branco para ver sugestões de amigos de amigos. || Zeigt nur Benutzer an, deren @ mit Ihrer Eingabe beginnt. Lassen Sie das Feld leer, um Vorschläge von Freunden von Freunden anzuzeigen.
zh-cn | Mostra apenas usuários cujo @ começa com o que você digitou. Deixe em branco para ver sugestões de amigos de amigos. || 仅显示 @ 以您键入的内容开头的用户。留空以查看朋友的朋友的建议。
pl | Mostra apenas usuários cujo @ começa com o que você digitou. Deixe em branco para ver sugestões de amigos de amigos. || Pokazuje tylko użytkowników, których @ zaczyna się od tego, co wpisałeś. Pozostaw puste, aby zobaczyć sugestie znajomych znajomych.
ko | Mostra apenas usuários cujo @ começa com o que você digitou. Deixe em branco para ver sugestões de amigos de amigos. || @가 입력한 내용으로 시작하는 사용자만 표시합니다. 친구의 친구가 제안한 내용을 보려면 비워 두세요.
en | Outro valor (R$): || Other value (R$):
de | Outro valor (R$): || Anderer Wert (R$):
zh-cn | Outro valor (R$): || 其他价值（雷亚尔）：
pl | Outro valor (R$): || Inna wartość (R$):
ko | Outro valor (R$): || 기타 가치(R$):
en | Resumo || Summary
de | Resumo || Zusammenfassung
zh-cn | Resumo || 概括
pl | Resumo || Streszczenie
ko | Resumo || 요약
en | Configurações do Membro || Member Settings
de | Configurações do Membro || Mitgliedereinstellungen
zh-cn | Configurações do Membro || 会员设置
pl | Configurações do Membro || Ustawienia członkowskie
ko | Configurações do Membro || 회원 설정
en | Senha || Password
de | Senha || Passwort
zh-cn | Senha || 密码
pl | Senha || Hasło
ko | Senha || 비밀번호
en | Remover amigo || Remove friend
de | Remover amigo || Freund entfernen
zh-cn | Remover amigo || 删除好友
pl | Remover amigo || Usuń znajomego
ko | Remover amigo || 친구 삭제
en | Criar nova conta || Create new account
de | Criar nova conta || Neues Konto erstellen
zh-cn | Criar nova conta || 创建新帐户
pl | Criar nova conta || Utwórz nowe konto
ko | Criar nova conta || 새 계정 만들기
en | para sua conta || to your account
de | para sua conta || auf Ihr Konto
zh-cn | para sua conta || 到您的帐户
pl | para sua conta || na Twoje konto
ko | para sua conta || 귀하의 계정으로
en | DESATIVADO || OFF
de | DESATIVADO || AUS
zh-cn | DESATIVADO || 离开
pl | DESATIVADO || WYŁĄCZONY
ko | DESATIVADO || 끄다
en | 👑 Criador da família || 👑 Family Creator
de | 👑 Criador da família || 👑 Familienschöpfer
zh-cn | 👑 Criador da família || 👑 家庭创造者
pl | 👑 Criador da família || 👑 Twórca rodziny
ko | 👑 Criador da família || 😘 가족 창조자
en | Ofertas por tempo limitado! || Limited time offers!
de | Ofertas por tempo limitado! || Zeitlich begrenzte Angebote!
zh-cn | Ofertas por tempo limitado! || 限时优惠！
pl | Ofertas por tempo limitado! || Oferty ograniczone czasowo!
ko | Ofertas por tempo limitado! || 기간 한정 혜택!
en | PROMOÇÃO ATIVA || ACTIVE PROMOTION
de | PROMOÇÃO ATIVA || AKTIVE WERBUNG
zh-cn | PROMOÇÃO ATIVA || 积极推广
pl | PROMOÇÃO ATIVA || AKTYWNA PROMOCJA
ko | PROMOÇÃO ATIVA || 적극적인 프로모션
en | Nenhum jogo compartilhado no cofre da família ainda. || No shared games in the family vault yet.
de | Nenhum jogo compartilhado no cofre da família ainda. || Noch keine geteilten Spiele im Familientresor.
zh-cn | Nenhum jogo compartilhado no cofre da família ainda. || 家庭保管库中还没有共享游戏。
pl | Nenhum jogo compartilhado no cofre da família ainda. || Nie ma jeszcze żadnych udostępnionych gier w skarbcu rodzinnym.
ko | Nenhum jogo compartilhado no cofre da família ainda. || 아직 가족 금고에 공유된 게임이 없습니다.
en | Classificação: || Classification:
de | Classificação: || Einstufung:
zh-cn | Classificação: || 分类：
pl | Classificação: || Klasyfikacja:
ko | Classificação: || 분류:
en | Gerenciamento de Família || Family Management
de | Gerenciamento de Família || Familienmanagement
zh-cn | Gerenciamento de Família || 家族管理
pl | Gerenciamento de Família || Zarządzanie rodziną
ko | Gerenciamento de Família || 가족경영
de | Comprar saldo Steam para || Kaufen Sie Steam-Guthaben für
zh-cn | Comprar saldo Steam para || 购买 Steam 余额
pl | Comprar saldo Steam para || Kup saldo Steam za
ko | Comprar saldo Steam para || Steam 잔액 구매
en | Nome que aparecerá para outros usuários. || Name that will appear to other users.
de | Nome que aparecerá para outros usuários. || Name, der anderen Benutzern angezeigt wird.
zh-cn | Nome que aparecerá para outros usuários. || 将向其他用户显示的名称。
pl | Nome que aparecerá para outros usuários. || Nazwa, która będzie widoczna dla innych użytkowników.
ko | Nome que aparecerá para outros usuários. || 다른 사용자에게 표시되는 이름입니다.
en | Distribuidora: || Distributor:
de | Distribuidora: || Verteiler:
zh-cn | Distribuidora: || 经销商：
pl | Distribuidora: || Dystrybutor:
ko | Distribuidora: || 살수 장치:
en | amigos de amigos || friends of friends
de | amigos de amigos || Freunde von Freunden
pl | amigos de amigos || przyjaciele przyjaciół
ko | amigos de amigos || 친구의 친구
en | Amigos || Friends
de | Amigos || Freunde
zh-cn | Amigos || 朋友们
pl | Amigos || Przyjaciele
ko | Amigos || 친구
en | Enviar jogos diferentes para o mesmo amigo? || Send different games to the same friend?
de | Enviar jogos diferentes para o mesmo amigo? || Verschiedene Spiele an denselben Freund senden?
zh-cn | Enviar jogos diferentes para o mesmo amigo? || 向同一个朋友发送不同的游戏？
pl | Enviar jogos diferentes para o mesmo amigo? || Wysyłać różne gry do tego samego znajomego?
ko | Enviar jogos diferentes para o mesmo amigo? || 같은 친구에게 다른 게임을 보내시겠습니까?
en | Marcadores populares para este produto: || Popular tags for this product:
de | Marcadores populares para este produto: || Beliebte Tags für dieses Produkt:
zh-cn | Marcadores populares para este produto: || 该产品的热门标签：
pl | Marcadores populares para este produto: || Popularne tagi dla tego produktu:
ko | Marcadores populares para este produto: || 이 제품의 인기 태그:
en | Controles Parentais por Idade Ativos || Active Age Parental Controls
de | Controles Parentais por Idade Ativos || Kindersicherung für aktives Alter
zh-cn | Controles Parentais por Idade Ativos || 活跃年龄家长控制
pl | Controles Parentais por Idade Ativos || Kontrola rodzicielska aktywnego wieku
ko | Controles Parentais por Idade Ativos || 활성 연령 자녀 보호
en | Entrar na sua conta || Login to your account
de | Entrar na sua conta || Melden Sie sich bei Ihrem Konto an
zh-cn | Entrar na sua conta || 登录您的帐户
pl | Entrar na sua conta || Zaloguj się na swoje konto
ko | Entrar na sua conta || 귀하의 계정에 로그인하십시오
en | Confirmar Destinatários e Pagar || Confirm Recipients and Pay
de | Confirmar Destinatários e Pagar || Bestätigen Sie die Empfänger und zahlen Sie
zh-cn | Confirmar Destinatários e Pagar || 确认收件人并付款
pl | Confirmar Destinatários e Pagar || Potwierdź odbiorców i zapłać
ko | Confirmar Destinatários e Pagar || 수신자 확인 및 결제
en | Nome de Exibição: || Display name:
de | Nome de Exibição: || Anzeigename:
zh-cn | Nome de Exibição: || 显示名称：
pl | Nome de Exibição: || Nazwa wyświetlana:
ko | Nome de Exibição: || 표시 이름:
en | Membro da família || Family member
de | Membro da família || Familienmitglied
zh-cn | Membro da família || 家属
pl | Membro da família || Członek rodziny
ko | Membro da família || 가족 구성원
en | Clique aqui para limpar o filtro e ver todas as análises. || Click here to clear the filter and see all reviews.
de | Clique aqui para limpar o filtro e ver todas as análises. || Klicken Sie hier, um den Filter zu löschen und alle Bewertungen anzuzeigen.
zh-cn | Clique aqui para limpar o filtro e ver todas as análises. || 单击此处清除过滤器并查看所有评论。
pl | Clique aqui para limpar o filtro e ver todas as análises. || Kliknij tutaj, aby wyczyścić filtr i zobaczyć wszystkie recenzje.
ko | Clique aqui para limpar o filtro e ver todas as análises. || 필터를 지우고 모든 리뷰를 보려면 여기를 클릭하세요.
en | Trocar usuário || Change user
de | Trocar usuário || Benutzer wechseln
